USER,DISTANCE (px),WIDTH (px),LOCATION INDEX,TIME (ms)
Lily,512,32,0,7677.895069
Lily,256,8,1,9412.897587
Lily,64,8,2,6821.564198
Lily,256,32,3,7199.347019
Lily,64,32,4,4608.633041
Lily,512,16,5,9427.206516
Lily,128,16,6,5966.053247
Lily,512,8,7,10029.1853
Lily,256,16,8,7261.526108
Lily,64,16,9,5049.317122
Lily,128,8,10,8108.409643
Lily,128,32,11,4624.345779
Lily,512,16,0,10927.37627029419
Lily,256,32,1,8112.715482711792
Lily,64,8,2,5680.518627166748
Lily,64,16,3,5396.313905715942
Lily,512,32,4,7801.97548866272
Lily,128,16,5,7253.150701522827
Lily,128,8,6,8377.264738082886
Lily,64,32,7,4414.63828086853
Lily,128,32,8,5233.31880569458
Lily,256,16,9,8975.85916519165
Lily,256,8,10,7872.772455215454
Lily,512,8,11,10882.88927078247
