DISTANCE (px),WIDTH (px),ID,Mean Time (s),,This file contains multiple trials (for more accurate data points)
512,32,4.09,0.96,,
256,8,5.04,1.177,,
64,8,3.17,0.853,,
256,32,3.17,0.9,,
64,32,1.58,0.576,,
512,16,5.04,1.178,,
128,16,3.17,0.746,,
512,8,6.02,1.254,,
256,16,4.09,0.908,,
64,16,2.32,0.631,,
128,8,4.09,1.014,,
128,32,2.32,0.578,,
512,16,5.04,1.366,,
256,32,3.17,1.014,,
64,8,3.17,0.71,,
64,16,2.32,0.675,,
512,32,4.09,0.975,,
128,16,3.17,0.907,,
128,8,4.09,1.047,,
64,32,1.58,0.552,,
128,32,2.32,0.654,,
256,16,4.09,1.122,,
256,8,5.04,0.984,,
512,8,6.02,1.36,,
